especie,raza,edad,ayuno,peso[kg],enfermedad1,enfermedad2,enfermedad3,enfermedad4,tipo_de_muestra,recipiente_1,recipiente_2,recipiente_3,cantidad[ml]o[gr],temperatura[Cel],tiempo_conservacion[h],condicion especial
gato,p_corto,15,si,"3,8",enfermedad_renal,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,12,si,"4,1",enfermedad_renal,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,3,si,"6,2",enfermedad_renal,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,3,si,"5,8",enfermedad_renal,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,0,si,"2,7",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,0,si,1,nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,1,si,"2,1",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,1,si,"1,7",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,0,si,"2,7",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,0,si,"1,8",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,1,si,"2,2",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,4,si,"5,5",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,15,si,"4,8",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,5,si,"5,2",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,15,si,"5,5",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,15,si,"6,2",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,5,si,"4,6",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,8,si,"3,8",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,2,si,"1,6",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,0,si,"2,2",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,1,si,"2,3",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,2,si,3,nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,0,si,"1,3",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,1,si,"1,2",nada,nada,nada,nada,sdma,micro_tubo_rojo,nada,nada,"0,7",2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,2,si,"1,9",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,4,si,3,nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,2,si,"5,9",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,14,si,"6,5",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,13,si,"6,2",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,10,si,"6,4",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,6,si,"6,1",nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_corto,11,si,7,nada,nada,nada,nada,sdma,tubo_rojo,nada,nada,3,2-8,48,Se debe almacenar en un lugar oscuro
gato,p_largo,7,no,"4,2",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,7,no,7,nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,12,no,"4,4",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,11,no,"3,2",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,14,no,"5,9",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,13,no,"6,3",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,6,no,"6,1",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,11,no,"3,1",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,2,no,"3,9",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,9,no,"3,6",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,12,no,"6,9",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,7,no,"3,8",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,11,no,"5,3",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,12,no,"3,6",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,10,no,"6,3",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_corto,13,no,"6,8",nada,nada,nada,nada,urianalisis,frasco_tapa_roja,jeringa,nada,13,4-6,12,"Se debe almacenar en un lugar oscuro, idealmente primera orina de la mañana"
gato,p_largo,4,si,"2,1",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_largo,1,si,"5,1",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_largo,5,si,"4,3",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_largo,5,si,"6,7",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_largo,7,si,"2,1",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_corto,10,si,"4,5",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
gato,p_corto,12,si,"2,3",nada,nada,nada,nada,perfil_bioquimico,tubo_rojo,tubo_amarillo,tubo_verde,3,4-6,24,"se debe almacenar en un lugar oscuro, si el frasco es verde la entrega debe ser inmediata"
